Race{actualTime=7456, actualLap=125}
Race{actualTime=7471, actualLap=125}
Race{actualTime=7486, actualLap=125}
Race{actualTime=7501, actualLap=126}
Race{actualTime=7516, actualLap=126}
Race{actualTime=7531, actualLap=126}
Race{actualTime=7546, actualLap=126}
Race{actualTime=7561, actualLap=127}
Race{actualTime=7576, actualLap=127}
Race{actualTime=7591, actualLap=127}
Race{actualTime=7606, actualLap=127}
Race{actualTime=7621, actualLap=128}
Race{actualTime=7636, actualLap=128}
Race{actualTime=7651, actualLap=128}
Race{actualTime=7666, actualLap=128}
Race{actualTime=7681, actualLap=129}
Race{actualTime=7696, actualLap=129}
Race{actualTime=7711, actualLap=129}
Race{actualTime=7726, actualLap=129}
Race{actualTime=7741, actualLap=130}
Race{actualTime=7756, actualLap=130}
Race{actualTime=7771, actualLap=130}
Race{actualTime=7786, actualLap=130}
Race{actualTime=7801, actualLap=131}
Race{actualTime=7816, actualLap=131}
Race{actualTime=7831, actualLap=131}
Race{actualTime=7846, actualLap=131}
Race{actualTime=7861, actualLap=132}
Race{actualTime=7876, actualLap=132}
Race{actualTime=7891, actualLap=132}
Race{actualTime=7921, actualLap=133}
Race{actualTime=7936, actualLap=133}
Race{actualTime=7981, actualLap=134}
Race{actualTime=8618, actualLap=144}
Race{actualTime=8633, actualLap=144}
Race{actualTime=8648, actualLap=145}
Race{actualTime=8663, actualLap=145}
Race{actualTime=8678, actualLap=145}
Race{actualTime=8708, actualLap=146}
Race{actualTime=8723, actualLap=146}
Race{actualTime=8738, actualLap=146}
Race{actualTime=8753, actualLap=146}
Race{actualTime=8768, actualLap=147}
Race{actualTime=8783, actualLap=147}
Race{actualTime=8798, actualLap=147}
Race{actualTime=8813, actualLap=147}
Race{actualTime=8828, actualLap=148}
Race{actualTime=12589, actualLap=210}
Race{actualTime=12604, actualLap=211}
Race{actualTime=12620, actualLap=211}
Race{actualTime=12635, actualLap=211}
Race{actualTime=12650, actualLap=211}
Race{actualTime=12665, actualLap=212}
Race{actualTime=12680, actualLap=212}
Race{actualTime=12695, actualLap=212}
Race{actualTime=12710, actualLap=212}
Race{actualTime=12725, actualLap=213}
Race{actualTime=12740, actualLap=213}
Race{actualTime=12755, actualLap=213}
Race{actualTime=12770, actualLap=213}
Race{actualTime=12785, actualLap=214}
Race{actualTime=12800, actualLap=214}
Race{actualTime=12815, actualLap=214}
Race{actualTime=12830, actualLap=214}
Race{actualTime=12845, actualLap=215}
Race{actualTime=12860, actualLap=215}
Race{actualTime=12875, actualLap=215}
Race{actualTime=12890, actualLap=215}
Race{actualTime=12905, actualLap=216}
Race{actualTime=12920, actualLap=216}
Race{actualTime=12935, actualLap=216}
